serene,agitated
wise,unwise
Rigid,Flexible
Equal,Unequal
tall,short
literate,illiterate
talent,lack
Validate,Invalidate
ease,discomfort
Visible,Latent
careful,careless
enterprising,passive
Special,Ordinary
Accurate,Inaccurate
Correct,Incorrect
Flexible,Rigid
Fortunate,Unfortunate
Even,Uneven
fortunate,Unfortunate
able,unable
Accept,Reject
Freedom,Imprisonment
Visible,Invisible
Obey,Disobey
Cautious,Reckless
clarity,ambiguity
obvious,subtle
creative,uncreative
Courage,Discourage
Assist,Hinder
Relevant,Extraneous
innovative,conventional
durable,transient
ceasing,unceasing
ambitious,unmotivated
reliable,unreliable
Pass,Fail
precisely,imprecisely
affected,unaffected
lucky,unlucky
wealthy,impoverished
numbered,unnumbered
Stable,Unstable
agreed,disagreed
Tangible,Intangible
warm,cool
forgiveness,revenge
Decisive,Indecisive
established,uncertain
existent,nonexistent
Elastic,Inelastic
Awake,Asleep
Precise,Vague
Exuberant,Depressed
loud,quiet
Engage,Disengage
appreciative,unappreciative
Forgivable,Unforgivable
peace,war
comfortable,uncomfortable
Agreeable,Objectionable
determined,undecided
found,lost
Plane,Deplane
Harmony,Strife
Dutiful,Undutiful
Predictable,Unpredictable
pack,unpack
benevolent,malevolent
shielded,unguarded
Effort,Apathy
Heaven,Hell
